doc_name,section_name,number_of_lines
keywords.md,Keyword list,684
develop/dev-guide-transaction-restraints.md,SI cannot avoid write skew,538
develop/dev-guide-optimistic-and-pessimistic-transaction.md,Write a pessimistic transaction example,494
TOC-tidb-cloud.md,REFERENCE,442
choose-index.md,Supported scenarios,402
tidb-roadmap.md,Rolling roadmap highlights,384
ticdc/ticdc-debezium.md,Value format,349
error-codes.md,Error codes,310
sql-statements/sql-statement-show-builtins.md,Examples,309
functions-and-operators/json-functions/json-functions-validate.md,[JSON_SCHEMA_VALID()](https://dev.mysql.com/doc/refman/8.0/en/json-validation-functions.html#function_json-schema-valid),298
TOC-tidb-cloud.md,GUIDES,283
ticdc/ticdc-avro-checksum-verification.md,Calculate and verify the checksum value,281
node_modules/@octokit/oauth-methods/README.md,`getWebFlowAuthorizationUrl()`,235
check-before-deployment.md,Check and configure the optimal parameters of the operating system,234
sql-statements/sql-statement-create-binding.md,Examples,226
sql-statements/sql-statement-explain.md,Examples,226
develop/dev-guide-proxysql-integration.md,Query rules,219
releases/release-7.1.6.md,Bug fixes,210
dm/handle-failed-ddl-statements.md,Shard merge scenario,210
develop/dev-guide-update-data.md,Example,209
node_modules/@octokit/request/README.md,request(),208
releases/release-timeline.md,TiDB Release Timeline,204
dm/dm-open-api.md,Example,203
dm/dm-open-api.md,Example,203
ticdc/ticdc-open-api-v2.md,Parameter descriptions,202
tidb-cloud/tidb-cloud-tls-connect-to-dedicated.md,Secure connection to a TiDB Cloud Dedicated cluster,202
releases/release-1.0-ga.md,Thanks to the individual contributors,201
node_modules/axios/README.md,Request Config,196
dm/dm-query-status.md,Detailed query result,187
dm/handle-failed-ddl-statements.md,Shard merge scenario,184
node_modules/octokit/README.md,Constructor options,180
dynamic-config.md,Modify TiKV configuration dynamically,174
develop/dev-guide-use-stale-read.md,Transaction level,173
ticdc/ticdc-debezium.md,Value format,170
partitioned-table.md,"Partitioning keys, primary keys and unique keys",168
node_modules/mdast-util-mdx/readme.md,Use,161
releases/release-7.5.2.md,Bug fixes,160
pd-control.md,`config [show | set <option> <value> | placement-rules]`,159
quick-start-with-tidb.md,Deploy a local test cluster,159
partitioned-table.md,Dynamic pruning mode,159
information-schema/information-schema-metrics-summary.md,METRICS_SUMMARY,159
releases/release-6.0.0-dmr.md,Configuration file parameters,157
develop/dev-guide-insert-data.md,Insert rows,157
ticdc/ticdc-simple-protocol.md,DDL,157
dm/quick-start-with-dm.md,Step 2: Prepare a source database (optional),157
node_modules/@octokit/endpoint/README.md,"`endpoint(route, options)` or `endpoint(options)`",156
sql-statements/sql-statement-create-sequence.md,Examples,156
sql-plan-management.md,Create a binding according to a SQL statement,155
functions-and-operators/string-functions.md,[`LOCATE()`](https://dev.mysql.com/doc/refman/8.0/en/string-functions.html#function_locate),154
node_modules/micromark/readme.md,Syntax extension,153
develop/dev-guide-optimistic-and-pessimistic-transaction.md,Write an optimistic transaction example,151
node_modules/acorn/README.md,Interface,148
node_modules/@octokit/oauth-methods/README.md,`scopeToken()`,147
sql-statements/sql-statement-show-variables.md,Examples,141
releases/release-7.5.1.md,Bug fixes,140
sql-statements/sql-statement-create-table.md,Synopsis,138
node_modules/mdast-util-gfm/readme.md,Tasklist,137
sql-statements/sql-statement-drop-binding.md,Examples,137
tidb-lightning/tidb-lightning-error-resolution.md,Example,136
ticdc/ticdc-open-api-v2.md,Response body format,135
tidb-cloud/connected-care-detail.md,Connected Care Details,135
node_modules/@octokit/auth-app/README.md,`createAppAuth(options)` or `new Octokit({ auth })`,135
node_modules/@octokit/app/README.md,Constructor,134
tidb-cloud/terraform-use-cluster-resource.md,Get cluster specification information using the `tidbcloud_cluster_specs` data source,133
tidb-cloud/import-parquet-files-serverless.md,Step 4. Import Parquet files to TiDB Cloud Serverless,132
releases/release-5.2.4.md,Bug fixes,131
tidb-cloud/import-csv-files-serverless.md,Step 4. Import CSV files to TiDB Cloud Serverless,131
metrics-schema.md,Additional Examples,130
information-schema/information-schema-slow-query.md,CLUSTER_SLOW_QUERY table,129
releases/release-8.1.1.md,Bug fixes,128
develop/dev-guide-use-common-table-expression.md,Non-recursive CTE,128
releases/release-7.6.0.md,Bug fixes,127
node_modules/@octokit/auth-oauth-user/README.md,When passing an existing authentication object,127
node_modules/@octokit/auth-oauth-user/README.md,GitHub APP user authentication token with expiring enabled,127
node_modules/@octokit/auth-app/README.md,Installation access token authentication,127
node_modules/@octokit/core/README.md,Options,126
develop/dev-guide-use-stale-read.md,Statement level,124
ticdc/ticdc-avro-protocol.md,Column data format,124
information-schema/information-schema-tiflash-tables.md,TIFLASH_TABLES,124
releases/release-7.1.2.md,Bug fixes,123
releases/release-8.0.0.md,Bug fixes,120
statement-summary-tables.md,`statements_summary` fields description,119
releases/release-6.5.12.md,Bug fixes,119
node_modules/lru-cache/README.md,Status Tracking,119
partitioned-table.md,Range partitioning,118
develop/dev-guide-delete-data.md,Bulk-delete example,118
sql-statements/sql-statement-show-table-regions.md,Examples,117
node_modules/@octokit/auth-oauth-user/README.md,OAuth APP authentication token,116
node_modules/@octokit/auth-app/README.md,GitHub APP user authentication token with expiring enabled,116
node_modules/@octokit/auth-oauth-app/README.md,GitHub APP user authentication token with expiring enabled,116
node_modules/@octokit/oauth-app/README.md,Constructor options,116
develop/dev-guide-paginate-results.md,Paging batches for single-field primary key tables,115
develop/dev-guide-proxysql-integration.md,Option 2: Integrate TiDB (self-hosted) with ProxySQL,115
ticdc/ticdc-debezium.md,Value format,115
releases/release-6.0.0-dmr.md,Bug fixes,114
information-schema/information-schema-slow-query.md,SLOW_QUERY,114
functions-and-operators/string-functions.md,[`LIKE`](https://dev.mysql.com/doc/refman/8.0/en/string-comparison-functions.html#operator_like),114
statistics.md,Lock statistics,113
information-schema/information-schema-processlist.md,PROCESSLIST,113
node_modules/mdast-util-mdx-jsx/readme.md,Use,112
auto-random.md,Basic concepts,111
sql-statements/sql-statement-rename-table.md,Examples,111
dm/dm-ddl-compatible.md,Skip DDL statements,111
explain-joins.md,Index Join,110
releases/release-8.5.0.md,TiDB 8.5.0 Release Notes,110
sql-statements/sql-statement-create-index.md,Expression index,109
dm/dm-open-api.md,Example,109
functions-and-operators/string-functions.md,[`REGEXP_INSTR()`](https://dev.mysql.com/doc/refman/8.0/en/regexp.html#function_regexp-instr),109
releases/release-5.4.1.md,Bug Fixes,108
sql-statements/sql-statement-drop-role.md,Examples,108
explain-partitions.md,Explain Statements Using Partitions,107
latency-breakdown.md,Commit,107
releases/release-7.1.4.md,Bug fixes,107
node_modules/@octokit/auth-app/README.md,Installation authentication,107
two-data-centers-in-one-city-deployment.md,Placement Rules,106
latency-breakdown.md,Async write,106
releases/release-6.5.4.md,Bug fixes,106
information-schema/information-schema-user-privileges.md,USER_PRIVILEGES,106
information-schema/information-schema-tables.md,TABLES,106
tidb-read-staleness.md,Usage examples,105
privilege-management.md,Grant privileges,105
releases/release-6.5.6.md,Bug fixes,105
tidb-cloud/limited-sql-features.md,System variables,105
node_modules/@octokit/auth-oauth-user/README.md,GitHub APP user authentication token with expiring disabled,105
